Datetime,Water Level (m)
2024-03-01 06:00:00,-0.768581
2024-03-01 07:00:00,-0.54807466
2024-03-01 08:00:00,-0.24876599
2024-03-01 09:00:00,0.038736824
2024-03-01 10:00:00,0.25291955
2024-03-01 11:00:00,0.34053802
2024-03-01 12:00:00,0.24902378
2024-03-01 13:00:00,0.011716782
2024-03-01 14:00:00,-0.20028336
2024-03-01 15:00:00,-0.38023812
2024-03-01 16:00:00,-0.52407575
2024-03-01 17:00:00,-0.63873273
2024-03-01 18:00:00,-0.6930225
2024-03-01 19:00:00,-0.48089057
2024-03-01 20:00:00,-0.19096892
2024-03-01 21:00:00,0.06876138
2024-03-01 22:00:00,0.23210745
2024-03-01 23:00:00,0.25948316
2024-03-02 00:00:00,0.10365727
2024-03-02 01:00:00,-0.13152766
2024-03-02 02:00:00,-0.32901087
2024-03-02 03:00:00,-0.49898142
2024-03-02 04:00:00,-0.6382134
2024-03-02 05:00:00,-0.7564144
2024-03-02 06:00:00,-0.8434793
2024-03-02 07:00:00,-0.7785511
2024-03-02 08:00:00,-0.48417762
2024-03-02 09:00:00,-0.21378385
2024-03-02 10:00:00,0.033964388
2024-03-02 11:00:00,0.19239892
2024-03-02 12:00:00,0.23205134
2024-03-02 13:00:00,0.10419522
2024-03-02 14:00:00,-0.11695277
2024-03-02 15:00:00,-0.3016087
2024-03-02 16:00:00,-0.45376956
2024-03-02 17:00:00,-0.56809556
2024-03-02 18:00:00,-0.6429508
2024-03-02 19:00:00,-0.60013825
2024-03-02 20:00:00,-0.35582915
2024-03-02 21:00:00,-0.1233833
2024-03-02 22:00:00,0.060752902
2024-03-02 23:00:00,0.14938574
2024-03-03 00:00:00,0.11079339
2024-03-03 01:00:00,-0.0712061
2024-03-03 02:00:00,-0.26468244
2024-03-03 03:00:00,-0.43778524
2024-03-03 04:00:00,-0.5813821
2024-03-03 05:00:00,-0.69787157
2024-03-03 06:00:00,-0.79225624
2024-03-03 07:00:00,-0.8237742
2024-03-03 08:00:00,-0.63761324
2024-03-03 09:00:00,-0.3849662
2024-03-03 10:00:00,-0.14651847
2024-03-03 11:00:00,0.043265108
2024-03-03 12:00:00,0.16006505
2024-03-03 13:00:00,0.17706822
2024-03-03 14:00:00,0.06206619
2024-03-03 15:00:00,-0.12844235
2024-03-03 16:00:00,-0.29088172
2024-03-03 17:00:00,-0.42217708
2024-03-03 18:00:00,-0.51332897
2024-03-03 19:00:00,-0.5560316
2024-03-03 20:00:00,-0.49241123
2024-03-03 21:00:00,-0.3118234
2024-03-03 22:00:00,-0.13647217
2024-03-03 23:00:00,-0.01483518
2024-03-04 00:00:00,0.025600454
2024-03-04 01:00:00,-0.032139506
2024-03-04 02:00:00,-0.18471786
2024-03-04 03:00:00,-0.34948897
2024-03-04 04:00:00,-0.49963525
2024-03-04 05:00:00,-0.62309957
2024-03-04 06:00:00,-0.7218046
2024-03-04 07:00:00,-0.7932812
2024-03-04 08:00:00,-0.78572506
2024-03-04 09:00:00,-0.6026681
2024-03-04 10:00:00,-0.39082572
2024-03-04 11:00:00,-0.1902826
2024-03-04 12:00:00,-0.015792888
2024-03-04 13:00:00,0.10393834
2024-03-04 14:00:00,0.14794461
2024-03-04 15:00:00,0.09649378
2024-03-04 16:00:00,-0.045273047
2024-03-04 17:00:00,-0.19858795
2024-03-04 18:00:00,-0.3346787
2024-03-04 19:00:00,-0.4419596
2024-03-04 20:00:00,-0.51784265
2024-03-04 21:00:00,-0.5454837
2024-03-04 22:00:00,-0.4728659
2024-03-04 23:00:00,-0.32901692
2024-03-05 00:00:00,-0.19930035
2024-03-05 01:00:00,-0.1197002
2024-03-05 02:00:00,-0.12242798
2024-03-05 03:00:00,-0.20704901
2024-03-05 04:00:00,-0.33292514
2024-03-05 05:00:00,-0.4640358
2024-03-05 06:00:00,-0.5830906
2024-03-05 07:00:00,-0.68373936
2024-03-05 08:00:00,-0.7595209
2024-03-05 09:00:00,-0.7872188
2024-03-05 10:00:00,-0.6933245
2024-03-05 11:00:00,-0.5102598
2024-03-05 12:00:00,-0.30905524
2024-03-05 13:00:00,-0.10701487
2024-03-05 14:00:00,0.06256955
2024-03-05 15:00:00,0.17733216
2024-03-05 16:00:00,0.21135578
2024-03-05 17:00:00,0.14142096
2024-03-05 18:00:00,-0.02526216
2024-03-05 19:00:00,-0.1907638
2024-03-05 20:00:00,-0.33701485
2024-03-05 21:00:00,-0.45832402
2024-03-05 22:00:00,-0.5563609
2024-03-05 23:00:00,-0.6204854
2024-03-06 00:00:00,-0.58964396
2024-03-06 01:00:00,-0.4097139
2024-03-06 02:00:00,-0.23337312
2024-03-06 03:00:00,-0.10378385
2024-03-06 04:00:00,-0.0675397
2024-03-06 05:00:00,-0.1299961
2024-03-06 06:00:00,-0.27567762
2024-03-06 07:00:00,-0.43057892
2024-03-06 08:00:00,-0.57261115
2024-03-06 09:00:00,-0.69068193
